Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C102737	C120522		Holter ECG Results	NEW INFERIOR WALL MYOCARDIAL INFARCTION	New Inferior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads III, aVF and often II, which is suggestive of myocardial infarction of the inferior wall of the left ventricle and which is new compared to prior ECGs.	New Inferior Myocardial Infarction by ECG Finding
C102738	C120522		Holter ECG Results	NEW LATERAL WALL MYOCARDIAL INFARCTION	New Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V5, V6, I and aVL, which is suggestive of myocardial infarction of the lateral wall of the left ventricle and which is new compared to prior ECGs.	New Lateral Myocardial Infarction by ECG Finding
C102731	C120522		Holter ECG Results	NEW MYOCARDIAL INFARCTION	New Myocardial Infarction	An electrocardiographic finding of pathologic Q waves, which is suggestive of myocardial infarction of one or more regions of the heart and which is new compared to prior ECGs. No specification is provided for localization.	New Myocardial Infarction by ECG Finding
C106548	C120522		Holter ECG Results	NEW POSTERIOR WALL MYOCARDIAL INFARCTION		An electrocardiographic finding in leads V1 or V2 of an initial R wave duration greater than or equal to 40 ms, R wave greater than S wave, and upright T wave, which is suggestive of myocardial infarction of the posterior wall of the left ventricle, and which is new compared to prior ECGs. Evidence of inferior or lateral myocardial infarction is usually also present.	New Posterior Wall Myocardial Infarction by ECG Finding
C102739	C120522		Holter ECG Results	NEW SEPTAL WALL MYOCARDIAL INFARCTION	New Septal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1, V2 and often V3, which is suggestive of myocardial infarction of the intraventricular septum and which is new compared to prior ECGs.	New Septal Myocardial Infarction by ECG Finding
C114163	C120522		Holter ECG Results	NO ECG WAVEFORMS PRESENT		An electrocardiographic recording that displays flat lines (no waveforms are visible) in all leads present.	ECG Waveforms Not Present
C71080	C120522		Holter ECG Results	NON Q WAVE MYOCARDIAL INFARCTION	Non Q Wave Myocardial Infarction	An electrocardiographic finding of ST and T wave abnormalities in the absence of pathologic Q waves, which is suggestive of myocardial infarction in one or more regions of the heart.	Non Q Wave Myocardial Infarction by ECG Finding
C116134	C120522		Holter ECG Results	NON-DIAGNOSTIC Q WAVES		An electrocardiographic finding of Q waves which are insufficient for the diagnosis of myocardial infarction. In such cases a myocardial infarction may be suspected, even though ECG criteria are not met.	Non-Diagnostic Q Waves by ECG Finding
C71031	C120522		Holter ECG Results	NON-SPECIFIC ST-T CHANGES	Non-specific ST-T changes	An electrocardiographic finding of changes in the ST segment and T wave that do not meet criteria for ischemia or infarction. (NCI)	Non-Specific ST-T Changes by ECG Finding
C102680	C120522		Holter ECG Results	NON-SUSTAINED ATRIAL TACHYCARDIA	Non-Sustained Atrial Tachycardia	An electrocardiographic finding of an atrial tachycardia which terminates in less than 30 seconds.	Non-Sustained Atrial Tachycardia by ECG Finding
C71053	C120522		Holter ECG Results	NON-SUSTAINED VENTRICULAR TACHYCARDIA	Non-sustained ventricular tachycardia; Ventricular tachycardia, unsustained	An electrocardiographic finding of ventricular tachycardia less than 30 seconds in duration. (NCI)	Non-Sustained Ventricular Tachycardia by ECG Finding
C120614	C120522		Holter ECG Results	NONSUSTAINED SUPRAVENTRICULAR TACHYCARDIA		An electrocardiographic finding of a supraventricular tachycardia with duration shorter than 30 seconds (though other duration thresholds may be applied).	Nonsustained Supraventricular Tachycardia by ECG Finding
C102681	C120522		Holter ECG Results	NORMAL SINUS RHYTHM	Normal Sinus Rhythm	An electrocardiographic finding of an atrial rhythm which originates from the sinoatrial node that is considered normal for the population. There are no extra beats or conduction abnormalities.	Normal Sinus Rhythm
C102634	C120522		Holter ECG Results	NORTHWEST AXIS	Northwest Axis; Right superior axis	An electrocardiographic finding of a frontal plane QRS axis from -90 to +180 degrees.	Extreme Right Axis Deviation
C71032	C120522		Holter ECG Results	NOTCHED T WAVES	Notched T Waves	An electrocardiographic finding of an irregular, u or v shaped deflection within the contour of the T wave.	T Wave Notched by ECG Finding
C102684	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE ANTERIOR WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 and V4, which is suggestive of myocardial infarction of the anterior wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Anterior Myocardial Infarction by ECG Finding
C102685	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE ANTEROLATERAL WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Anterolateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 through V6, which is suggestive of myocardial infarction of the anterolateral wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Anterolateral Myocardial Infarction by ECG Finding
C102686	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE ANTEROSEPTAL WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Anteroseptal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1 through V4, which is suggestive of myocardial infarction of the anteroseptal wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Anteroseptal Myocardial Infarction by ECG Finding
C102687	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Extensive Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1 to V6, I and aVL, which is suggestive of myocardial infarction involving the anterior and anterolateral walls of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Extensive Anterior Myocardial Infarction by ECG Finding
C102688	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE HIGH LATERAL WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate High Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads I and aVL, which is suggestive of myocardial infarction of the high lateral wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate High Lateral Myocardial Infarction by ECG Finding
C102689	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE INFERIOR WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Inferior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads III, aVF and often II, which is suggestive of myocardial infarction of the inferior wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Inferior Myocardial Infarction by ECG Finding
C102690	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE LATERAL WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V5, V6, I and aVL, which is suggestive of myocardial infarction of the lateral wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Lateral Myocardial Infarction by ECG Finding
C102691	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE POSTERIOR WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Posterior Wall Myocardial Infarction	An electrocardiographic finding in leads V1 or V2 of an initial R wave duration greater than or equal to 40 ms, R wave greater than S wave, and upright T wave, which is suggestive of myocardial infarction of the posterior wall of the left ventricle, without evidence of current or ongoing acute infarction. Evidence of inferior or lateral myocardial infarction is usually also present.	Old or Age Indeterminate Posterior Myocardial Infarction by ECG Finding
C102693	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE SEPTAL WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Septal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1, V2 and often V3, which is suggestive of myocardial infarction of the intraventricular septum, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Septal Myocardial Infarction by ECG Finding
C101597	C120522		Holter ECG Results	OLD OR AGE INDETERMINATE WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves, which is suggestive of myocardial infarction of one or more regions of the heart, without evidence of current or ongoing acute infarction. No specification is provided for localization.	Old Myocardial Infarction by ECG Finding
C102692	C120522		Holter ECG Results	OLD OR AGE UNDETERMINED RIGHT VENTRICULAR MYOCARDIAL INFARCTION		An electrocardiographic finding, in the presence of an old or age indeterminate inferior wall myocardial infarction, of Q waves greater than or equal to 40 ms in duration in the right ventricular leads V4R through V6R.	Old or Age Indeterminate Right Ventricular Myocardial Infarction by ECG Finding
C114176	C120522		Holter ECG Results	OTHER INCORRECT ELECTRODE PLACEMENT		An electrocardiographic recording in which one or more electrodes are incorrectly placed but further details are not provided.	Other Incorrect Electrode Placement
C90430	C120522		Holter ECG Results	P WAVE ABNORMALITY	P Wave Abnormality	An electrocardiographic finding for the P wave that is atypical either for the shape, duration, amplitude, axis or polarity. Abnormality of the P wave signifies aberrant propagation of the electrical impulse through the atria. (NCI)	P Wave Abnormality by ECG Finding
C90431	C120522		Holter ECG Results	P WAVE NOTCHED	P Wave Notched	An electrocardiographic finding of P waves with two peaks longer in duration than normal and amplitude greater than normal.	P Wave Notched by ECG Finding
C92232	C120522		Holter ECG Results	PACED ATRIAL AND VENTRICULAR RHYTHM	AV dual-paced complex(es) or rhythm; Paced Atrial And Ventricular Rhythm	An electrocardiographic finding in which both the atrial and ventricular rhythm are controlled by an electrical impulse from an artificial cardiac pacemaker.	Paced Atrial And Ventricular Rhythm
C92233	C120522		Holter ECG Results	PACED ATRIAL RHYTHM	Atrial-paced complex(es) or rhythm; Paced Atrial Rhythm	An electrocardiographic finding in which the atrial rhythm is controlled by an electrical impulse from an artificial cardiac pacemaker.	Paced Atrial Rhythm
C88140	C120522		Holter ECG Results	PACED RHYTHM	Atrial and/or Ventricular Paced Rhythm; Paced Rhythm	An electrocardiographic finding in which the cardiac rhythm is controlled by an electrical impulse from an artificial cardiac pacemaker.	Paced Rhythm
C92234	C120522		Holter ECG Results	PACED VENTRICULAR RHYTHM	Paced Ventricular Rhythm; Ventricular-paced complex(es) or rhythm	An electrocardiographic finding in which the ventricular rhythm is controlled by an electrical impulse from an artificial cardiac pacemaker.	Paced Ventricular Rhythm
C120615	C120522		Holter ECG Results	PAROXYSMAL ATRIAL FIBRILLATION		An electrocardiographic finding of atrial fibrillation which occurs intermittently during the recording. Other rhythms which may be present are sinus rhythm, junctional rhythm, or an atrial paced rhythm.	Paroxysmal Atrial Fibrillation by ECG Finding
C62250	C120522		Holter ECG Results	PAROXYSMAL AV BLOCK	Paroxysmal AV block	An electrocardiographic finding of the sudden onset of transient AV block, which is often associated with preexisting conduction disorders.	Paroxysmal Atrioventricular Block by ECG Finding
C34902	C120522		Holter ECG Results	PAROXYSMAL VENTRICULAR TACHYCARDIA	Paroxysmal Ventricular Tachycardia	An episodic form of ventricular tachycardia, with abrupt onset and termination. (NCI)	Paroxysmal Ventricular Tachycardia by ECG Finding
C119250	C120522		Holter ECG Results	PAUSE		An electrocardiographic finding of an RR interval which exceeds a predefined duration threshold, regardless of the underlying rhythm.	Pause by ECG Finding
C119251	C120522		Holter ECG Results	PAUSE GREATER THAN 3.0 SECONDS		An electrocardiographic finding of an RR interval with duration greater than 3.0 seconds, regardless of the underlying rhythm.	Pause Greater Than Three Seconds by ECG Finding
C120616	C120522		Holter ECG Results	PERSISTENT ATRIAL FIBRILLATION		An electrocardiographic finding of atrial fibrillation which is present during the entire recording.	Persistent Atrial Fibrillation by ECG Finding
C114172	C120522		Holter ECG Results	POOR QUALITY ECG		An electrocardiographic recording that does not show proper quality for reasons that are not otherwise described.	Poor Quality ECG
C71033	C120522		Holter ECG Results	POOR R WAVE PROGRESSION	Poor R Wave Progression	An electrocardiographic finding of a lack of progression of R wave height across precordial leads.	Poor R Wave Progression by ECG Finding
C35399	C120522		Holter ECG Results	POSTERIOR WALL MYOCARDIAL INFARCTION	Posterior MI; Posterior Wall Myocardial Infarction	An electrocardiographic finding in leads V1 or V2 of an initial R wave duration greater than or equal to 40 ms, R wave greater than S wave, and upright T wave, which is suggestive of myocardial infarction of the posterior wall of the left ventricle. Evidence of inferior or lateral myocardial infarction is usually also present.	Posterior Myocardial Infarction by ECG Finding
C116135	C120522		Holter ECG Results	PR SEGMENT DEPRESSION	PR Depression	An electrocardiographic finding of PR segment depression below the iso-electric line in multiple precordial and/or limb leads.	PR Segment Depression by ECG Finding
C34940	C120522		Holter ECG Results	PRE-EXCITATION	Pre-excitation; Ventricular preexcitation	An electrocardiographic finding characterized by a premature activation of the whole or some part of the ventricle. The PR interval is usually shortened and delta waves are frequently present.	Pre-Excitation Syndrome
C114153	C120522		Holter ECG Results	PRECORDIAL ELECTRODE V1 DISCONNECTED		An electrocardiographic recording in which the electrode for lead V1 is disconnected resulting in missing waveforms (flat line) for lead V1.	Disconnected Precordial Electrode V1 by ECG Finding
C114154	C120522		Holter ECG Results	PRECORDIAL ELECTRODE V2 DISCONNECTED		An electrocardiographic recording in which the electrode for lead V2 is disconnected resulting in missing waveforms (flat line) for lead V2.	Disconnected Precordial Electrode V2 by ECG Finding
C114155	C120522		Holter ECG Results	PRECORDIAL ELECTRODE V3 DISCONNECTED		An electrocardiographic recording in which the electrode for lead V3 is disconnected resulting in missing waveforms (flat line) for lead V3.	Disconnected Precordial Electrode V3 by ECG Finding
C114156	C120522		Holter ECG Results	PRECORDIAL ELECTRODE V4 DISCONNECTED		An electrocardiographic recording in which the electrode for lead V4 is disconnected resulting in missing waveforms (flat line) for lead V4.	Disconnected Precordial Electrode V4 by ECG Finding
C114157	C120522		Holter ECG Results	PRECORDIAL ELECTRODE V5 DISCONNECTED		An electrocardiographic recording in which the electrode for lead V5 is disconnected resulting in missing waveforms (flat line) for lead V5.	Disconnected Precordial Electrode V5 by ECG Finding
C114158	C120522		Holter ECG Results	PRECORDIAL ELECTRODE V6 DISCONNECTED		An electrocardiographic recording in which the electrode for lead V6 is disconnected resulting in missing waveforms (flat line) for lead V6.	Disconnected Precordial Electrode V6 by ECG Finding
C114160	C120522		Holter ECG Results	PRECORDIAL ELECTRODE(S) POSITIONED INCORRECTLY		An electrocardiographic recording in which one or more precordial electrodes are placed incorrectly with respect to the standard chest electrode positions resulting in improper representation of the affected leads.	Incorrectly Positioned Precordial Electrodes by ECG Finding
C114152	C120522		Holter ECG Results	PRECORDIAL ELECTRODES INTERCHANGED	Precordial Lead Reversal	An electrocardiographic recording in which two or more of the precordial electrodes are switched resulting in improper representation of the affected leads.	Interchanged Precordial Electrodes by ECG Finding
C62257	C120522		Holter ECG Results	PREMATURE ATRIAL COMPLEXES	APC; Atrial premature complex(es); PAC; Premature atrial complex; SVE; Supraventricular Extra Beat	An electrocardiographic finding of an ectopic impulse originating in the atria and not specifically in the sinus node. The P wave morphology of these complexes is often different from a sinus P wave and the RR intervals preceding these complexes is also shorter than those of the regular beats.	Atrial Premature Complex by ECG Finding
C102603	C120522		Holter ECG Results	PREMATURE ATRIAL COMPLEXES BLOCKED	Atrial premature complexes, nonconducted; Non-conducted SVE; Premature Atrial Complexes Blocked; Premature Atrial Complexes Non-conducted	An electrocardiographic finding of premature atrial complexes which are not conducted to the ventricle, and which are not followed by a QRS complex.	Blocked Atrial Premature Complex by ECG Finding
C102672	C120522		Holter ECG Results	PREMATURE ATRIAL COMPLEXES MULTIFOCAL	Multifocal SVE; Multifocal Supraventricular Extra Beats; Premature Atrial Complexes Multiform	An electrocardiographic finding of premature atrial complexes which have 2 or more distinct morphologies, suggesting origin at more than one atrial site.	Multifocal Atrial Premature Complex by ECG Finding
C102724	C120522		Holter ECG Results	PREMATURE ATRIAL COMPLEXES UNIFOCAL	Premature Atrial Complexes Unifocal	An electrocardiographic finding of premature atrial complexes which have a single distinct morphology, suggesting origin at one atrial site.	Unifocal Atrial Premature Complex by ECG Finding
C62256	C120522		Holter ECG Results	PREMATURE VENTRICULAR COMPLEX	PVC; VE; VPC; Ventricular Extra Beat; Ventricular premature complex(es)	An electrocardiographic finding of an ectopic impulse originating in the ventricles. The QRS morphology of these complexes is different from those of supraventricular origin. The QRS duration is often longer and the RR interval preceding the complexes is usually shorter than that of supraventricular beats.	Ventricular Premature Complex by ECG Finding
C107100	C120522		Holter ECG Results	PREMATURE VENTRICULAR COMPLEX INTERPOLATED	Interpolated VE; Interpolated VPC; Interpolated Ventricular Extra Beat; Premature Ventricular Complexes Interpolated	An electrocardiographic finding of a premature ventricular complex which occurs between two normal QRS complexes which have normal timing.	Interpolated Premature Ventricular Complex by ECG Finding
C102673	C120522		Holter ECG Results	PREMATURE VENTRICULAR COMPLEXES MULTIFOCAL	Multifocal VES; Multifocal VPCS; Multifocal Ventricular Extra Beats; Premature Ventricular Complexes Multifocal	An electrocardiographic finding of premature ventricular complexes which have two or more distinct morphologies, suggesting origin at more than one ventricular site.	Multifocal Ventricular Premature Complex by ECG Finding
C102725	C120522		Holter ECG Results	PREMATURE VENTRICULAR COMPLEXES UNIFOCAL	Premature Ventricular Complexes Unifocal; Unifocal VES; Unifocal VPCS; Unifocal Ventricular Extra Beats	An electrocardiographic finding of premature ventricular complexes which have a single distinct morphology, suggesting origin at one ventricular site.	Unifocal Ventricular Premature Complex by ECG Finding
C71034	C120522		Holter ECG Results	PROLONGED QT	Prolonged QT; Prolonged QT interval	An electrocardiographic finding in which the QT interval not corrected for heart rate is prolonged. Thresholds for different age, gender, and patient populations exist.	Prolonged QT Interval by ECG Finding
C116137	C120522		Holter ECG Results	PROLONGED ST SEGMENT		An electrocardiographic finding of a prolonged ST segment, resulting in a long QT interval, without lengthening of the T wave duration.	Prolonged ST Segment by ECG Finding
C71094	C120522		Holter ECG Results	Q AXIS, LEFT AXIS DEVIATION	Left-axis deviation; Q Axis, Left axis deviation; QRS axis, left axis deviation	An electrocardiographic finding of a frontal plane QRS axis from -30 to -90 degrees.	Q Axis Left Axis Deviation
C71095	C120522		Holter ECG Results	Q AXIS, RIGHT AXIS DEVIATION	Q Axis, Right axis deviation; QRS axis, right axis deviation; Right-axis deviation	An electrocardiographic finding of a frontal plane QRS axis from +90 to +180 degrees.	Q Axis Right Axis Deviation
C90440	C120522		Holter ECG Results	QRS COMPLEX ABNORMALITY	QRS Complex Abnormality	An electrocardiographic finding of a non-specific abnormality of the QRS complex, which is atypical in shape, duration, amplitude, axis or polarity.	QRS Complex Abnormality by ECG Finding
C83817	C120522		Holter ECG Results	QTC PROLONGATION	QTc Prolongation	An electrocardiographic finding in which the QTc interval corrected for heart rate is prolonged. Thresholds for different age, gender, and patient populations exist.	Corrected Prolonged QT Interval by ECG Finding
C107098	C120522		Holter ECG Results	QTCB PROLONGATION	PROLONGED QTcB	An electrocardiographic finding in which the QT interval corrected for heart rate using Bazett's formula is prolonged. Thresholds for different age, gender, and patient populations exist.	QTcB Prolongation
C107099	C120522		Holter ECG Results	QTCF PROLONGATION	PROLONGED QTcF	An electrocardiographic finding in which the QT interval corrected for heart rate using Fridericia's formula is prolonged. Thresholds for different age, gender, and patient populations exist.	QTcF Prolongation
C114161	C120522		Holter ECG Results	QUALITY PROBLEM NOT OTHERWISE SPECIFIED	Unknown Quality Problem	An electrocardiographic artifact or recording error with unknown origin or which is not described otherwise.	Quality Problem Not Otherwise Specified by ECG Finding
C61395	C120522		Holter ECG Results	R ON T PHENOMENON	R on T phenomenon	An electrocardiographic finding in which the R wave of a premature ventricular complex occurs on top of the T wave of the preceding beat.	R On T Phenomenon by ECG Finding
C90444	C120522		Holter ECG Results	R WAVE NOTCHED	R Wave Notched	An electrocardiographic finding of an R wave variant in which there is a small deflection of the R wave, with changing polarity, within the QRS complex. (NCI)	R Wave Notched by ECG Finding
C102574	C120522		Holter ECG Results	REPOLARIZATION ABNORMALITY	Repolarization Abnormality	An electrocardiographic finding of an abnormality of T wave duration or morphology or of early repolarization.	Ventricular Repolarization Abnormality
C102706	C120522		Holter ECG Results	REPOLARIZATION ABNORMALITY SECONDARY TO VENTRICULAR HYPERTROPHY	Repolarization Abnormality Secondary To Ventricular Hypertrophy; ST-T change due to ventricular hypertrophy	An electrocardiographic finding of ST depression and T wave inversion in the presence of increased QRS amplitude which are thought to be due to left ventricular hypertrophy.	Repolarization Abnormality Secondary To Ventricular Hypertrophy
C71041	C120522		Holter ECG Results	RIGHT ATRIAL ABNORMALITY	P-pulmonale; Right Atrial Enlargement	An electrocardiographic finding suggesting underlying hypertrophy or dilatation of the right atrium. Electrocardiographic criteria used for the diagnosis of right atrial abnormality may include a peaked p wave greater than 2.5 millimeters in amplitude in the inferior leads. (NCI)	P-pulmonale by ECG Finding
C62270	C120522		Holter ECG Results	RIGHT BUNDLE BRANCH BLOCK	Complete RBBB; Right bundle branch block; Right bundle-branch block	An electrocardiographic finding of a wide QRS complex with evidence of delayed conduction to the right ventricle, manifest by a widened initial portion of the QRS in V1 and V2, a widened S wave in V5, V6, I and aVL, and with QRS duration greater than or equal to 120 ms. An RsR' complex is typically present in leads V1 and V2.	Right Bundle Branch Block by ECG Finding
C92235	C120522		Holter ECG Results	RIGHT VENTRICULAR CONDUCTION DELAY	Right Ventricular Conduction Delay; Right Ventricular Delay	An electrocardiographic finding in which there is evidence that electrical transmission through the right ventricle is impaired with a maximal QRS duration of 110 ms and which does not meet the criteria for Incomplete Right Bundle Branch Block.	Right Ventricular Conduction Delay by ECG Finding
C71077	C120522		Holter ECG Results	RIGHT VENTRICULAR HYPERTROPHY	Right ventricular Hypertrophy	An electrocardiographic finding suggestive of a hypertrophied right ventricle, characterized by large R wave amplitudes in the right precordial leads and secondary findings of right atrial enlargement, right axis deviation, and typical pattern of ST depression and T wave inversion in the right precordial leads.	Right Ventricular Hypertrophy by ECG Finding
C92227	C120522		Holter ECG Results	RSR PRIME	RSR'	An electrocardiographic finding in which there are two R waves, which are two deflections above the baseline resulting from a single ventricular depolarization. The first upward deflection in the complex is the R wave. The S is the first downward deflection. A second upward deflection is called the R-prime wave.	RSR' by ECG Finding
C35519	C120522		Holter ECG Results	SEPTAL MYOCARDIAL INFARCTION	Septal myocardial infarction	An electrocardiographic finding suggesting an infarction in the anatomic location of the cardiac septum. (NCI)	Septal Myocardial Infarction by ECG Finding
C62246	C120522		Holter ECG Results	SHORT PR INTERVAL	Short PR interval	An electrocardiographic finding of an abnormally short PR interval. Thresholds for different age, gender, and patient populations exist.	Short PR Interval by ECG Finding
C102709	C120522		Holter ECG Results	SHORT QTC INTERVAL	Short QTc Interval	An electrocardiographic finding of a QT interval corrected for heart rate that is shorter than the lower limit of normal. Thresholds for different age, gender, and patient populations exist.	Short QTc Interval
C112402	C120522		Holter ECG Results	SHORT QTCB		An electrocardiographic finding in which the QT interval corrected for heart rate using Bazett's formula is shortened. Thresholds for different age, gender, and patient populations exist.	QTcB Shortened
C112403	C120522		Holter ECG Results	SHORT QTCF		An electrocardiographic finding in which the QT interval corrected for heart rate using Fridericia's formula is shortened. Thresholds for different age, gender, and patient populations exist.	QTcF Shortened
C116136	C120522		Holter ECG Results	SHORT ST SEGMENT		An electrocardiographic finding of a short or absent ST segment, resulting in a short QT interval, without changes in T wave morphology.	Short ST Segment by ECG Finding
C50553	C120522		Holter ECG Results	SINOATRIAL EXIT BLOCK	SA Block; Sinoatrial Block; Sinoatrial exit block	An electrocardiographic finding in which impaired conduction or automaticity within the sinus node results in the failure of impulse transmission from the sinoatrial node. This is manifest as dropped P waves during sinus rhythm.	Exit Block by ECG Finding
C62242	C120522		Holter ECG Results	SINUS ARREST/PAUSE	Sinus arrest/pause; Sinus pause or arrest	An electrocardiographic finding in which a failure of impulse formation or conduction in the sinus node produces prolongation of the P-P interval or dropped P waves. The threshold for the prolongation of the P-P interval is not well defined.	Sinus Arrest by ECG Finding
C62239	C120522		Holter ECG Results	SINUS ARRHYTHMIA	Respiratory Sinus Arrhythmia; Sinus arrhythmia	An electrocardiographic finding in which the sinus rate fluctuates with the respiratory cycle.	Sinus Arrhythmia by ECG Finding
C111097	C120522		Holter ECG Results	SINUS BRADYCARDIA	Sinus bradycardia	An electrocardiographic finding of abnormally slow heart rate with its origin in the sinus node. Thresholds for different age, gender, and patient populations exist.	Sinus Bradycardia by ECG Finding
C100076	C120522		Holter ECG Results	SINUS RHYTHM	Sinus Rhythm	An electrocardiographic finding of an atrial rhythm which originates from the sinoatrial node that is considered normal for the population.	Sinus Rhythm
C120617	C120522		Holter ECG Results	SINUS SLOWING WITH AV BLOCK		An electrocardiographic finding in which slowing of the sinus rate and AV block occur simultaneously.	Sinus Slowing With AV Block by ECG Finding
C111104	C120522		Holter ECG Results	SINUS TACHYCARDIA	Sinus tachycardia	An electrocardiographic finding of abnormally rapid heart rate with its origin in the sinus node. Thresholds for different age, gender, and patient populations exist.	Sinus Tachycardia by ECG Finding
C41330	C120522		Holter ECG Results	ST DEPRESSION	ST depression	An electrocardiographic finding of ST segment depression below the baseline, often described as up sloping, down sloping or horizontal. (NCI)	ST Segment Depression by ECG Finding
C50540	C120522		Holter ECG Results	ST ELEVATION	ST elevation	An electrocardiographic finding of ST segment elevation above the baseline. (NCI)	ST Segment Elevation by ECG Finding
C71029	C120522		Holter ECG Results	ST ELEVATION PERICARDITIS	ST elevation pericarditis	An electrocardiographic finding of ST elevation which is concave upwards, and which is often accompanied by PR segment depression.	ST Elevation Pericarditis by ECG Finding
C119252	C120522		Holter ECG Results	SUPRAVENTRICULAR COUPLET		An electrocardiographic finding in which two premature atrial complexes occur sequentially.	Supraventricular Couplet by ECG Finding
C120618	C120522		Holter ECG Results	SUPRAVENTRICULAR RUN		An electrocardiographic finding of three or more consecutive beats of supraventricular origin without reference to rate.	Supraventricular Run by ECG Finding
C111100	C120522		Holter ECG Results	SUPRAVENTRICULAR TACHYCARDIA	Supraventricular tachycardia	An electrocardiographic finding of a tachycardia which does not originate in the ventricles or His Purkinje system. There is an abnormally high heart rate and QRS complexes are typically narrow, but aberration or preexcitation may be present.	Supraventricular Tachycardia by ECG Finding
C114173	C120522		Holter ECG Results	SUSPECT LIMB ELECTRODES REVERSED, INTERPRETATION ASSUMES NO REVERSAL		An electrocardiographic recording in which an interchange of one or more limb lead electrodes is suspected, but for which an interpretation is performed as though the lead placement is correct.	Suspicion of Limb Electrodes Reversal But Interpretation Assumes No Reversal by ECG Finding
C114174	C120522		Holter ECG Results	SUSPECT LIMB ELECTRODES REVERSED, INTERPRETATION ASSUMES REVERSAL		An electrocardiographic recording in which an interchange of one or more limb lead electrodes is suspected, and for which an interpretation is performed as though the leads have in fact been interchanged.	Suspicion of Limb Electrodes Reversal But Interpretation Assumes Reversal by ECG Finding
C120619	C120522		Holter ECG Results	SUSTAINED SUPRAVENTRICULAR TACHYCARDIA		An electrocardiographic finding of a supraventricular tachycardia with duration greater than 30 seconds (though other duration thresholds may be applied).	Sustained Supraventricular Tachycardia by ECG Finding
C71052	C120522		Holter ECG Results	SUSTAINED VENTRICULAR TACHYCARDIA	Sustained ventricular tachycardia	An electrocardiographic finding of ventricular tachycardia greater than 30 seconds in duration. (NCI)	Sustained Ventricular Tachycardia by ECG Finding
C102718	C120522		Holter ECG Results	T WAVE ALTERNANS	T Wave Alternans	An electrocardiographic finding in which there are variations in the shape, amplitude, or direction of the T wave from one beat to the next.	T Wave Alternans by ECG Finding
C71085	C120522		Holter ECG Results	T WAVE INVERSION	T Wave Inversion	An electrocardiographic finding of an inversion of the T wave from the expected axis. (NCI)	T Wave Inversion by ECG Finding
C71086	C120522		Holter ECG Results	T WAVE PEAKED	T wave peaked	An electrocardiographic finding in which the T wave appears increased in amplitude and cresting at a point. (NCI)	T Wave Peaked by ECG Finding
C71087	C120522		Holter ECG Results	T WAVES BIPHASIC	T waves biphasic	An electrocardiographic finding of a T wave with both positive and negative components.	T Waves Biphasic by ECG Finding
